node1,node2,GroupCode
MAR02K12P,MAC1K25P,M
MAR01K24P,MASR025K,M
MAR01K24P,MAHS025K,M
MAR01K24P,MAPA1K24P,M
MAR01K24P,MAP1K25P,M
MAR01K24P,MAC1K25P,M
MASR025K,MAHS025K,M
MASR025K,MAPA1K24P,M
MASR025K,MAP1K25P,M
MASR025K,MAC1K25P,M
MAHS025K,MAPA1K24P,M
MAHS025K,MAP1K25P,M
MAHS025K,MAC1K25P,M
MAPA1K24P,MAP1K25P,M
MAPA1K24P,MAC1K25P,M
MAP1K25P,MAC1K25P,M
